AdaptStationary::AdaptStationary():
               You make use of the obsolete constructor AdaptStationary::AdaptStationary(...)!
               Please use the constructor that uses references instead of pointers!
193 : 0.0007 : 0.0420323 : 0.000268796 : 1.2 : 0.7
194 : 0.0007 : 0.042021 : 0.000268757 : 1.2 : 0.7
195 : 0.0007 : 0.0420098 : 0.00026872 : 1.2 : 0.7
196 : 0.0007 : 0.0419985 : 0.000268682 : 1.2 : 0.7
197 : 0.0007 : 0.0419872 : 0.000268644 : 1.2 : 0.7
198 : 0.0007 : 0.0419759 : 0.000268606 : 1.2 : 0.7
199 : 0.0007 : 0.0419646 : 0.000268569 : 1.2 : 0.7
200 : 0.0007 : 0.0419534 : 0.00026853 : 1.2 : 0.7
201 : 0.0007 : 0.0419421 : 0.000268493 : 1.2 : 0.7
202 : 0.0007 : 0.0419308 : 0.000268455 : 1.2 : 0.7
203 : 0.0007 : 0.0419196 : 0.000268417 : 1.2 : 0.7
204 : 0.0007 : 0.0419083 : 0.000268379 : 1.2 : 0.7
205 : 0.0007 : 0.0418971 : 0.00026834 : 1.2 : 0.7
206 : 0.0007 : 0.0418859 : 0.000268303 : 1.2 : 0.7
207 : 0.0007 : 0.0418746 : 0.000268264 : 1.2 : 0.7
208 : 0.0007 : 0.0418634 : 0.000268227 : 1.2 : 0.7
209 : 0.0007 : 0.0418522 : 0.000268188 : 1.2 : 0.7
210 : 0.0007 : 0.0418409 : 0.000268151 : 1.2 : 0.7
211 : 0.0007 : 0.0418297 : 0.000268112 : 1.2 : 0.7
212 : 0.0007 : 0.0418185 : 0.000268074 : 1.2 : 0.7
213 : 0.0007 : 0.0418073 : 0.000268036 : 1.2 : 0.7
214 : 0.0007 : 0.0417961 : 0.000267999 : 1.2 : 0.7
215 : 0.0007 : 0.0417849 : 0.000267961 : 1.2 : 0.7
216 : 0.0007 : 0.0417737 : 0.000267923 : 1.2 : 0.7
217 : 0.0007 : 0.0417625 : 0.000267884 : 1.2 : 0.7
218 : 0.0007 : 0.0417513 : 0.000267847 : 1.2 : 0.7
219 : 0.0007 : 0.0417401 : 0.000267809 : 1.2 : 0.7
220 : 0.0007 : 0.041729 : 0.000267771 : 1.2 : 0.7
221 : 0.0007 : 0.0417178 : 0.000267733 : 1.2 : 0.7
222 : 0.0007 : 0.0417066 : 0.000267695 : 1.2 : 0.7
223 : 0.0007 : 0.0416955 : 0.000267657 : 1.2 : 0.7
224 : 0.0007 : 0.0416843 : 0.00026762 : 1.2 : 0.7
225 : 0.0007 : 0.0416731 : 0.000267582 : 1.2 : 0.7
226 : 0.0007 : 0.041662 : 0.000267544 : 1.2 : 0.7
227 : 0.0007 : 0.0416508 : 0.000267506 : 1.2 : 0.7
228 : 0.0007 : 0.0416397 : 0.000267468 : 1.2 : 0.7
229 : 0.0007 : 0.0416286 : 0.00026743 : 1.2 : 0.7
230 : 0.0007 : 0.0416174 : 0.000267392 : 1.2 : 0.7
231 : 0.0007 : 0.0416063 : 0.000267355 : 1.2 : 0.7
232 : 0.0007 : 0.0415952 : 0.000267317 : 1.2 : 0.7
233 : 0.0007 : 0.0415841 : 0.000267279 : 1.2 : 0.7
234 : 0.0007 : 0.041573 : 0.000267241 : 1.2 : 0.7
235 : 0.0007 : 0.0415619 : 0.000267203 : 1.2 : 0.7
236 : 0.0007 : 0.0415508 : 0.000267165 : 1.2 : 0.7
237 : 0.0007 : 0.0415397 : 0.000267127 : 1.2 : 0.7
238 : 0.0007 : 0.0415286 : 0.00026709 : 1.2 : 0.7
239 : 0.0007 : 0.0415175 : 0.000267052 : 1.2 : 0.7
240 : 0.0007 : 0.0415064 : 0.000267014 : 1.2 : 0.7
241 : 0.0007 : 0.0414953 : 0.000266976 : 1.2 : 0.7
242 : 0.0007 : 0.0414842 : 0.000266938 : 1.2 : 0.7
243 : 0.0007 : 0.0414732 : 0.000266901 : 1.2 : 0.7
244 : 0.0007 : 0.0414621 : 0.000266863 : 1.2 : 0.7
245 : 0.0007 : 0.041451 : 0.000266825 : 1.2 : 0.7
